 ,Label,Mean,Min,Max,Median
1,A:0003-0435-0456,168.495,0,531,199
2,A:0003-0177-0985,160.733,0,480,198
3,A:0003-0444-1366,160.783,0,383,198
4,A:0003-0852-1427,160.357,0,422,205
5,A:0003-1455-0942,172.318,0,360,201
6,A:0003-1071-0381,177.828,0,371,200
7,A:0003-0739-0646,181.174,0,411,202
8,A:a,167.445,0,368,207
9,cMycMax:0003-0525-0460,167.621,0,706,218
10,cMycMax:0003-0237-1005,187.198,0,664,226
11,cMycMax:0003-0427-1131,176.311,0,863,227
12,cMycMax:0003-0757-1365,192.152,0,716,228
13,cMycMax:0003-0747-1041,158.532,0,665,247
14,cMycMax:0003-0805-0802,171.970,0,940,242
15,cMycMax:0003-1008-0588,171.795,0,467,245
16,cMycMax:0003-1282-1510,151.439,0,604,227
17,cMycMax:0003-1300-0888,197.114,0,879,231
18,cMycMax:b,190.831,0,522,222
19,isotype:0003-0841-0262,170.476,0,403,207
20,isotype:0003-0511-0694,176.406,0,684,211
21,isotype:0003-0225-0988,183.841,0,453,213
22,isotype:0003-0103-1492,162.702,0,365,206
23,isotype:0003-0532-1595,210.358,0,373,214
24,isotype:0003-0675-1117,171.045,0,536,217
25,isotype:0003-0939-0679,178.793,0,666,218
26,isotype:0003-1008-1426,167.730,0,432,211
27,isotype:0003-1293-0927,176.555,0,411,211
28,isotype:0003-1243-0300,171.558,0,665,207
