Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\1379.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	peg_azidotetrazine_3
Sample Number	79
Sample Position	RC5
Sample ID	1379
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	4:08:10 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	758
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	904.982483
Base Intensity (counts):	78050
TIC (counts):	296544
Retention Time (min):	2.01 [corrected by 0.05]
Scan:	118
Bkg1 RT (min):	1.90 [corrected by 0.05]
Bkg1 Scan:	112
Bkg2 RT (min):	2.25 [corrected by 0.05]
Bkg2 Scan:	132




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
500.560059	444	0.57
501.651794	390	0.50
503.628906	545	0.70
504.962830	1932	2.48
509.004272	1287	1.65
510.940186	6	0.01
514.032715	370	0.47
518.784729	477	0.61
519.743286	91	0.12
520.843079	183	0.23
524.031616	995	1.27
525.695251	192	0.25
526.848145	224	0.29
527.945190	288	0.37
529.014587	857	1.10
530.019409	91	0.12
530.776489	750	0.96
531.624268	758	0.97
534.205078	1661	2.13
536.286926	1286	1.65
538.116455	73	0.09
539.285095	431	0.55
540.193726	33	0.04
542.201294	158	0.20
543.282227	1278	1.64
544.232605	598	0.77
548.071472	15	0.02
549.165955	1190	1.53
550.585449	1471	1.89
551.826965	253	0.32
552.803772	640	0.82
556.049561	303	0.39
557.263733	577	0.74
559.248779	51	0.07
560.149658	268	0.34
560.906982	339	0.43
563.229370	293	0.38
564.623779	296	0.38
567.797363	566	0.72
569.036560	334	0.43
570.246033	1134	1.45
571.282654	166	0.21
573.306580	14	0.02
574.088562	678	0.87
575.973633	308	0.39
577.226013	703	0.90
580.692078	688	0.88
581.913574	806	1.03
582.979065	754	0.97
583.996277	187	0.24
585.123901	436	0.56
587.169556	357	0.46
588.381592	58	0.07
589.537720	680	0.87
590.615662	223	0.29
592.783752	88	0.11
593.989563	438	0.56
595.054871	550	0.70
596.175110	4	0.00
597.795898	550	0.70
598.947510	206	0.26
600.447388	246	0.32
602.230957	325	0.42
603.281433	828	1.06
605.356140	333	0.43
606.417114	59	0.08
607.707092	473	0.61
609.954712	18	0.02
611.858459	192	0.25
613.041626	726	0.93
614.373352	591	0.76
615.548401	490	0.63
616.661560	628	0.80
617.781067	196	0.25
619.608032	528	0.68
620.792603	51	0.07
622.626953	764	0.98
625.122437	378	0.48
626.554688	73	0.09
629.719360	50	0.06
632.458252	969	1.24
633.548340	7	0.01
635.179749	93	0.12
637.510071	571	0.73
638.321472	387	0.50
639.506592	369	0.47
641.175659	390	0.50
643.441772	245	0.31
644.725342	222	0.28
645.851868	528	0.68
648.442871	227	0.29
649.664673	45	0.06
651.073242	1094	1.40
653.858643	131	0.17
655.169128	265	0.34
656.620667	482	0.62
657.732605	233	0.30
658.742188	329	0.42
660.663269	160	0.21
661.932861	131	0.17
662.912903	247	0.32
664.962402	732	0.94
667.650024	262	0.34
668.587585	667	0.85
669.514709	138	0.18
671.154480	173	0.22
672.603760	335	0.43
673.363098	274	0.35
674.553772	521	0.67
675.580627	1245	1.60
677.975037	496	0.64
680.202881	858	1.10
681.070313	145	0.19
681.600769	425	0.54
682.679016	370	0.47
685.673035	288	0.37
686.739990	271	0.35
688.095398	508	0.65
689.023926	375	0.48
689.944824	852	1.09
690.762024	517	0.66
691.914490	392	0.50
693.236389	988	1.27
694.127014	473	0.61
697.262085	150	0.19
697.728516	342	0.44
700.444092	812	1.04
701.323242	97	0.12
702.227112	395	0.51
704.109741	320	0.41
705.109436	1205	1.54
709.446411	78	0.10
710.079041	462	0.59
711.666992	170	0.22
712.729553	635	0.81
713.901001	326	0.42
716.630981	68	0.09
717.450989	53	0.07
717.939575	261	0.33
718.736694	334	0.43
720.296997	1191	1.53
722.176880	303	0.39
723.214844	590	0.76
726.031677	131	0.17
728.306824	663	0.85
729.951660	531	0.68
731.296387	190	0.24
731.927307	669	0.86
734.845947	139	0.18
736.013611	542	0.69
737.551453	302	0.39
738.705322	2	0.00
740.388367	151	0.19
742.608948	542	0.69
743.833069	937	1.20
745.036072	462	0.59
746.943970	537	0.69
747.943604	180	0.23
750.927002	209	0.27
752.208557	142	0.18
752.913696	114	0.15
753.243469	3	0.00
754.129883	1	0.00
757.718689	187	0.24
760.811218	1113	1.43
761.989868	755	0.97
763.328918	149	0.19
764.619385	202	0.26
765.469543	496	0.64
766.673401	385	0.49
768.952637	207	0.26
772.114807	576	0.74
772.944336	256	0.33
774.385193	694	0.89
775.481873	518	0.66
776.664124	194	0.25
777.743225	364	0.47
778.720215	201	0.26
780.101685	217	0.28
782.578003	211	0.27
783.891418	553	0.71
785.256104	295	0.38
786.421143	116	0.15
787.207947	74	0.09
788.270691	200	0.26
789.315857	858	1.10
791.613403	717	0.92
794.102356	11	0.01
794.697144	193	0.25
795.585327	313	0.40
796.339478	189	0.24
798.068848	164	0.21
798.981689	614	0.79
800.704651	385	0.49
801.520325	291	0.37
802.611572	80	0.10
805.096497	255	0.33
805.991760	166	0.21
808.359558	189	0.24
809.454712	497	0.64
810.645386	97	0.12
811.159668	37	0.05
812.729309	555	0.71
815.312500	614	0.79
818.501648	304	0.39
819.882935	64	0.08
821.310547	18	0.02
821.823914	140	0.18
822.605530	258	0.33
823.618958	532	0.68
825.642944	444	0.57
826.903442	105	0.13
828.356262	685	0.88
830.084412	177	0.23
830.924438	30	0.04
832.801392	245	0.31
834.209534	215	0.28
834.963684	63	0.08
835.790039	1383	1.77
836.299255	517	0.66
837.085632	1504	1.93
838.982239	261	0.33
839.941833	114	0.15
841.151184	221	0.28
842.181824	254	0.33
843.331177	79	0.10
844.366089	276	0.35
845.200928	100	0.13
845.480408	99	0.13
847.963989	143	0.18
848.515686	291	0.37
849.427795	399	0.51
850.164734	137	0.18
851.954346	10	0.01
852.446167	199	0.25
853.288879	55	0.07
854.359680	739	0.95
855.343994	530	0.68
856.590332	811	1.04
857.656372	587	0.75
859.328064	420	0.54
861.228882	469	0.60
862.356873	911	1.17
863.473145	896	1.15
864.482300	833	1.07
866.370667	268	0.34
867.277771	1159	1.48
