Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\1379.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	peg_azidotetrazine_3
Sample Number	79
Sample Position	RC5
Sample ID	1379
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	4:08:10 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	63babf47-4bf5-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-9.14438
Signal Max.	82.176780
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.000000	0.00	0.000000	
0.001667	0.10	0.000030	
0.003333	0.10	0.000580	
0.005000	0.10	0.002410	
0.006667	0.10	0.005340	
0.008333	0.10	0.006900	
0.010000	0.10	0.004630	
0.011667	0.10	-0.000750	
0.013333	0.10	-0.005950	
0.015000	0.10	-0.008390	
0.016667	0.10	-0.008200	
0.018333	0.10	-0.006950	
0.020000	0.10	-0.005000	
0.021667	0.10	-0.001250	
0.023333	0.10	0.004870	
0.025000	0.10	0.011890	
0.026667	0.10	0.017400	
0.028333	0.10	0.020060	
0.030000	0.10	0.019440	
0.031667	0.10	0.016030	
0.033333	0.10	0.012130	
0.035000	0.10	0.010640	
0.036667	0.10	0.012460	
0.038333	0.10	0.015790	
0.040000	0.10	0.017780	
0.041667	0.10	0.016650	
0.043333	0.10	0.012230	
0.045000	0.10	0.005230	
0.046667	0.10	-0.003110	
0.048333	0.10	-0.011440	
0.050000	0.10	-0.018350	
0.051667	0.10	-0.022590	
0.053333	0.10	-0.023800	
0.055000	0.10	-0.023120	
0.056667	0.10	-0.021900	
0.058333	0.10	-0.020620	
0.060000	0.10	-0.019710	
0.061667	0.10	-0.020340	
0.063333	0.10	-0.023260	
0.065000	0.10	-0.027660	
0.066667	0.10	-0.031730	
0.068333	0.10	-0.034020	
0.070000	0.10	-0.034410	
0.071667	0.10	-0.034010	
0.073333	0.10	-0.034280	
0.075000	0.10	-0.036260	
0.076667	0.10	-0.040440	
0.078333	0.10	-0.046500	
0.080000	0.10	-0.053350	
0.081667	0.10	-0.059430	
0.083333	0.10	-0.062770	
0.085000	0.10	-0.061720	
0.086667	0.10	-0.056160	
0.088333	0.10	-0.047940	
0.090000	0.10	-0.039480	
0.091667	0.10	-0.032480	
0.093333	0.10	-0.027390	
0.095000	0.10	-0.023890	
0.096667	0.10	-0.021830	
0.098333	0.10	-0.021550	
0.100000	0.10	-0.023130	
0.101667	0.10	-0.025900	
0.103333	0.10	-0.029110	
0.105000	0.10	-0.032550	
0.106667	0.10	-0.036290	
0.108333	0.10	-0.040290	
0.110000	0.10	-0.043880	
0.111667	0.10	-0.046160	
0.113333	0.10	-0.046970	
0.115000	0.10	-0.046830	
0.116667	0.10	-0.045750	
0.118333	0.10	-0.043630	
0.120000	0.10	-0.041310	
0.121667	0.10	-0.040400	
0.123333	0.10	-0.041980	
0.125000	0.10	-0.045720	
0.126667	0.10	-0.049760	
0.128333	0.10	-0.051950	
0.130000	0.10	-0.051850	
0.131667	0.10	-0.050960	
0.133333	0.10	-0.051450	
0.135000	0.10	-0.054880	
0.136667	0.10	-0.060790	
0.138333	0.10	-0.066090	
0.140000	0.10	-0.067300	
0.141667	0.10	-0.063590	
0.143333	0.10	-0.056830	
0.145000	0.10	-0.049430	
0.146667	0.10	-0.043480	
0.148333	0.10	-0.040880	
0.150000	0.10	-0.042320	
0.151667	0.10	-0.046250	
0.153333	0.10	-0.049760	
0.155000	0.10	-0.050540	
0.156667	0.10	-0.048120	
0.158333	0.10	-0.043370	
0.160000	0.10	-0.037590	
0.161667	0.10	-0.032720	
0.163333	0.10	-0.031120	
0.165000	0.10	-0.035800	
0.166667	0.10	-0.060490	
0.168333	0.10	-0.163580	
0.170000	0.10	-0.500000	
0.171667	0.10	-1.334340	
0.173333	0.10	-2.927080	
0.175000	0.10	-5.266040	
0.176667	0.10	-7.760480	
0.178333	0.10	-9.144380	
0.180000	0.10	-7.831430	
0.181667	0.10	-2.714170	
0.183333	0.10	6.014100	
0.185000	0.10	16.610350	
0.186667	0.10	26.367810	
0.188333	0.10	32.713140	
0.190000	0.10	34.171080	
0.191667	0.10	30.749380	
0.193333	0.10	23.736880	
0.195000	0.10	15.156330	
0.196667	0.10	7.111870	
0.198333	0.10	1.226660	
0.200000	0.10	-1.665680	
0.201667	0.10	-1.516430	
0.203333	0.10	1.172860	
0.205000	0.10	5.659390	
0.206667	0.10	11.211660	
0.208333	0.10	17.248130	
0.210000	0.10	23.372610	
0.211667	0.10	29.346470	
0.213333	0.10	35.032990	
0.215000	0.10	40.337870	
0.216667	0.10	45.165790	
0.218333	0.10	49.403420	
0.220000	0.10	52.924360	
0.221667	0.10	55.606350	
0.223333	0.10	57.355130	
0.225000	0.10	58.125760	
0.226667	0.10	57.929190	
0.228333	0.10	56.823830	
0.230000	0.10	54.902040	
0.231667	0.10	52.279180	
0.233333	0.10	49.085790	
0.235000	0.10	45.461050	
0.236667	0.10	41.548550	
0.238333	0.10	37.493400	
0.240000	0.10	33.436330	
0.241667	0.10	29.504550	
0.243333	0.10	25.804130	
0.245000	0.10	22.414600	
0.246667	0.10	19.386030	
0.248333	0.10	16.739740	
0.250000	0.10	14.471930	
0.251667	0.10	12.558720	
0.253333	0.10	10.962810	
0.255000	0.10	9.641370	
0.256667	0.10	8.552450	
0.258333	0.10	7.658240	
0.260000	0.10	6.926490	
0.261667	0.10	6.331420	
0.263333	0.10	5.853700	
0.265000	0.10	5.478970	
0.266667	0.10	5.196260	
0.268333	0.10	4.997000	
0.270000	0.10	4.873430	
0.271667	0.10	4.817340	
0.273333	0.10	4.821060	
0.275000	0.10	4.878620	
0.276667	0.10	4.984530	
0.278333	0.10	5.131290	
0.280000	0.10	5.308610	
0.281667	0.10	5.505140	
0.283333	0.10	5.711190	
0.285000	0.10	5.920400	
0.286667	0.10	6.128260	
0.288333	0.10	6.329660	
0.290000	0.10	6.518700	
0.291667	0.10	6.689910	
0.293333	0.10	6.838100	
0.295000	0.10	6.958020	
0.296667	0.10	7.045590	
0.298333	0.10	7.099210	
0.300000	0.10	7.119230	
0.301667	0.10	7.106420	
0.303333	0.10	7.061030	
0.305000	0.10	6.983000	
0.306667	0.10	6.872580	
0.308333	0.10	6.730860	
0.310000	0.10	6.559350	
0.311667	0.10	6.359660	
0.313333	0.10	6.133570	
0.315000	0.10	5.883440	
0.316667	0.10	5.613000	
0.318333	0.10	5.327820	
0.320000	0.10	5.034050	
0.321667	0.10	4.736550	
0.323333	0.10	4.438400	
0.325000	0.10	4.141300	
0.326667	0.10	3.845560	
0.328333	0.10	3.550920	
0.330000	0.10	3.258580	
0.331667	0.10	2.972020	
0.333333	0.10	2.695150	
0.335000	0.10	2.430850	
0.336667	0.10	2.181700	
0.338333	0.10	1.950390	
0.340000	0.10	1.738250	
0.341667	0.10	1.544480	
0.343333	0.10	1.367010	
0.345000	0.10	1.203070	
0.346667	0.10	1.049670	
0.348333	0.10	0.905410	
0.350000	0.10	0.771650	
0.351667	0.10	0.650670	
0.353333	0.10	0.543030	
0.355000	0.10	0.447400	
0.356667	0.10	0.362300	
0.358333	0.10	0.287020	
0.360000	0.10	0.221870	
0.361667	0.10	0.168070	
0.363333	0.10	0.126540	
0.365000	0.10	0.095550	
0.366667	0.10	0.070240	
0.368333	0.10	0.045750	
0.370000	0.10	0.020580	
0.371667	0.10	-0.003160	
0.373333	0.10	-0.022710	
0.375000	0.10	-0.037600	
0.376667	0.10	-0.049640	
0.378333	0.10	-0.060810	
0.380000	0.10	-0.071820	
0.381667	0.10	-0.081520	
0.383333	0.10	-0.088000	
0.385000	0.10	-0.090970	
0.386667	0.10	-0.092170	
0.388333	0.10	-0.093090	
0.390000	0.10	-0.093730	
0.391667	0.10	-0.093470	
0.393333	0.10	-0.091260	
0.395000	0.10	-0.086040	
0.396667	0.10	-0.078240	
0.398333	0.10	-0.070320	
0.400000	0.10	-0.064640	
0.401667	0.10	-0.061830	
0.403333	0.10	-0.061360	
0.405000	0.10	-0.062380	
0.406667	0.10	-0.063590	
0.408333	0.10	-0.064060	
0.410000	0.10	-0.063820	
0.411667	0.10	-0.063390	
0.413333	0.10	-0.063190	
0.415000	0.10	-0.063460	
0.416667	0.10	-0.064280	
0.418333	0.10	-0.065740	
0.420000	0.10	-0.067590	
0.421667	0.10	-0.068980	
0.423333	0.10	-0.069030	
0.425000	0.10	-0.067540	
0.426667	0.10	-0.065300	
0.428333	0.10	-0.063210	
0.430000	0.10	-0.060960	
0.431667	0.10	-0.057910	
0.433333	0.10	-0.055320	
