Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\4551.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco488_4
Sample Number	76
Sample Position	RC4
Sample ID	4551
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:53:21 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	679
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	792.482849
Base Intensity (counts):	28582
TIC (counts):	215432
Retention Time (min):	1.60 [corrected by 0.05]
Scan:	95
Bkg1 RT (min):	1.38 [corrected by 0.05]
Bkg1 Scan:	82
Bkg2 RT (min):	1.74 [corrected by 0.05]
Bkg2 Scan:	103




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
501.718536	77	0.27
507.002960	663	2.32
510.118042	665	2.33
511.425659	454	1.59
512.585632	15	0.05
513.772400	461	1.61
514.886230	690	2.42
520.549438	652	2.28
521.696228	202	0.71
522.830444	275	0.96
523.879028	464	1.62
526.704102	778	2.72
529.664795	1222	4.28
530.760864	1168	4.09
531.827271	26	0.09
533.972107	162	0.57
535.006836	1382	4.84
536.106567	949	3.32
538.647766	374	1.31
540.003357	403	1.41
542.194458	873	3.05
545.260559	1254	4.39
546.732300	338	1.18
548.561279	675	2.36
549.286804	44	0.15
551.059143	257	0.90
552.011169	1226	4.29
553.138733	1032	3.61
554.503357	647	2.26
555.653442	64	0.22
558.984436	944	3.30
561.147583	560	1.96
562.553040	23	0.08
564.866638	116	0.40
566.220825	1284	4.49
569.734497	28	0.10
572.985840	272	0.95
574.832642	208	0.73
578.244568	475	1.66
579.162354	320	1.12
580.144043	58	0.20
582.396667	20	0.07
583.643921	636	2.23
584.754944	801	2.80
587.421448	14742	51.58
588.556702	2521	8.82
589.544861	537	1.88
590.321350	22	0.08
592.644226	414	1.45
593.611206	423	1.48
596.580566	200	0.70
599.652771	304	1.06
600.699585	577	2.02
603.540161	1351	4.73
