Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\4551.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco488_4
Sample Number	76
Sample Position	RC4
Sample ID	4551
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:53:21 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	4fcdbb1e-4bf3-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-5.53788
Signal Max.	73.177160
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.000000	0.00	0.000000	
0.001667	0.10	0.000020	
0.003333	0.10	0.000320	
0.005000	0.10	0.001360	
0.006667	0.10	0.003050	
0.008333	0.10	0.003930	
0.010000	0.10	0.002460	
0.011667	0.10	-0.000900	
0.013333	0.10	-0.004130	
0.015000	0.10	-0.005790	
0.016667	0.10	-0.005840	
0.018333	0.10	-0.004200	
0.020000	0.10	0.000050	
0.021667	0.10	0.007590	
0.023333	0.10	0.017800	
0.025000	0.10	0.028950	
0.026667	0.10	0.038450	
0.028333	0.10	0.043930	
0.030000	0.10	0.044990	
0.031667	0.10	0.043530	
0.033333	0.10	0.041540	
0.035000	0.10	0.039550	
0.036667	0.10	0.037090	
0.038333	0.10	0.033850	
0.040000	0.10	0.030360	
0.041667	0.10	0.027430	
0.043333	0.10	0.024950	
0.045000	0.10	0.022200	
0.046667	0.10	0.019350	
0.048333	0.10	0.017430	
0.050000	0.10	0.016760	
0.051667	0.10	0.016880	
0.053333	0.10	0.017270	
0.055000	0.10	0.017640	
0.056667	0.10	0.018320	
0.058333	0.10	0.020130	
0.060000	0.10	0.023480	
0.061667	0.10	0.027650	
0.063333	0.10	0.031090	
0.065000	0.10	0.032700	
0.066667	0.10	0.031980	
0.068333	0.10	0.028540	
0.070000	0.10	0.022460	
0.071667	0.10	0.015050	
0.073333	0.10	0.008150	
0.075000	0.10	0.003730	
0.076667	0.10	0.003750	
0.078333	0.10	0.008940	
0.080000	0.10	0.017200	
0.081667	0.10	0.024260	
0.083333	0.10	0.026790	
0.085000	0.10	0.024850	
0.086667	0.10	0.021080	
0.088333	0.10	0.018080	
0.090000	0.10	0.017370	
0.091667	0.10	0.019120	
0.093333	0.10	0.021890	
0.095000	0.10	0.023880	
0.096667	0.10	0.024540	
0.098333	0.10	0.024760	
0.100000	0.10	0.025650	
0.101667	0.10	0.027510	
0.103333	0.10	0.029960	
0.105000	0.10	0.032160	
0.106667	0.10	0.033330	
0.108333	0.10	0.033560	
0.110000	0.10	0.033600	
0.111667	0.10	0.033690	
0.113333	0.10	0.034020	
0.115000	0.10	0.035390	
0.116667	0.10	0.037720	
0.118333	0.10	0.039390	
0.120000	0.10	0.039090	
0.121667	0.10	0.037000	
0.123333	0.10	0.034040	
0.125000	0.10	0.030830	
0.126667	0.10	0.027490	
0.128333	0.10	0.024230	
0.130000	0.10	0.021810	
0.131667	0.10	0.020910	
0.133333	0.10	0.021360	
0.135000	0.10	0.022460	
0.136667	0.10	0.023580	
0.138333	0.10	0.024530	
0.140000	0.10	0.025960	
0.141667	0.10	0.029210	
