Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.000167	0.00	0.000000	
0.001833	0.10	-0.000030	
0.003500	0.10	-0.000520	
0.005167	0.10	-0.002460	
0.006833	0.10	-0.006770	
0.008500	0.10	-0.012710	
0.010167	0.10	-0.017900	
0.011833	0.10	-0.019970	
0.013500	0.10	-0.017740	
0.015167	0.10	-0.011160	
0.016833	0.10	-0.000990	
0.018500	0.10	0.011450	
0.020167	0.10	0.023960	
0.021833	0.10	0.033820	
0.023500	0.10	0.039250	
0.025167	0.10	0.039830	
0.026833	0.10	0.036490	
0.028500	0.10	0.031770	
0.030167	0.10	0.028740	
0.031833	0.10	0.028970	
0.033500	0.10	0.032210	
0.035167	0.10	0.037070	
0.036833	0.10	0.041100	
0.038500	0.10	0.041380	
0.040167	0.10	0.036200	
0.041833	0.10	0.026610	
0.043500	0.10	0.015820	
0.045167	0.10	0.006780	
0.046833	0.10	0.000760	
0.048500	0.10	-0.002600	
0.050167	0.10	-0.004620	
0.051833	0.10	-0.005880	
0.053500	0.10	-0.005660	
0.055167	0.10	-0.003830	
0.056833	0.10	-0.001930	
0.058500	0.10	-0.001230	
0.060167	0.10	-0.000870	
0.061833	0.10	0.001060	
0.063500	0.10	0.005330	
0.065167	0.10	0.010800	
0.066833	0.10	0.015300	
0.068500	0.10	0.016560	
0.070167	0.10	0.013550	
0.071833	0.10	0.007250	
0.073500	0.10	0.000010	
0.075167	0.10	-0.006180	
