Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22594.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn488_4
Sample Number	74
Sample Position	RC2
Sample ID	22594
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:43:26 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	ed393dd4-4bf1-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-5.98026
Signal Max.	126.312040
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.000167	0.00	0.000000	
0.001833	0.10	0.000040	
0.003500	0.10	0.000600	
0.005167	0.10	0.002210	
0.006833	0.10	0.004070	
0.008500	0.10	0.003060	
0.010167	0.10	-0.003500	
0.011833	0.10	-0.013910	
0.013500	0.10	-0.022510	
0.015167	0.10	-0.024630	
0.016833	0.10	-0.019720	
0.018500	0.10	-0.010600	
0.020167	0.10	-0.000720	
0.021833	0.10	0.008240	
0.023500	0.10	0.016550	
0.025167	0.10	0.024960	
0.026833	0.10	0.033730	
0.028500	0.10	0.042590	
0.030167	0.10	0.050680	
0.031833	0.10	0.057040	
0.033500	0.10	0.061430	
0.035167	0.10	0.064230	
0.036833	0.10	0.065470	
0.038500	0.10	0.064280	
0.040167	0.10	0.059490	
0.041833	0.10	0.050790	
0.043500	0.10	0.039820	
0.045167	0.10	0.030240	
0.046833	0.10	0.026050	
0.048500	0.10	0.028110	
0.050167	0.10	0.032970	
0.051833	0.10	0.035760	
0.053500	0.10	0.033610	
0.055167	0.10	0.026630	
0.056833	0.10	0.017230	
0.058500	0.10	0.008580	
0.060167	0.10	0.002990	
0.061833	0.10	0.000760	
0.063500	0.10	0.000040	
0.065167	0.10	-0.001750	
0.066833	0.10	-0.005910	
0.068500	0.10	-0.012020	
0.070167	0.10	-0.018290	
0.071833	0.10	-0.021460	
0.073500	0.10	-0.018490	
0.075167	0.10	-0.009290	
0.076833	0.10	0.002760	
0.078500	0.10	0.013210	
0.080167	0.10	0.019440	
0.081833	0.10	0.021980	
0.083500	0.10	0.022970	
0.085167	0.10	0.023730	
0.086833	0.10	0.023690	
0.088500	0.10	0.021430	
0.090167	0.10	0.016360	
0.091833	0.10	0.009640	
0.093500	0.10	0.003600	
0.095167	0.10	0.000410	
0.096833	0.10	0.000740	
0.098500	0.10	0.003550	
0.100167	0.10	0.007240	
0.101833	0.10	0.010350	
0.103500	0.10	0.011390	
0.105167	0.10	0.009130	
0.106833	0.10	0.003770	
0.108500	0.10	-0.002410	
0.110167	0.10	-0.006720	
0.111833	0.10	-0.008190	
0.113500	0.10	-0.007460	
0.115167	0.10	-0.005250	
0.116833	0.10	-0.002450	
0.118500	0.10	-0.000050	
0.120167	0.10	0.002060	
0.121833	0.10	0.004660	
0.123500	0.10	0.007120	
0.125167	0.10	0.007670	
0.126833	0.10	0.005360	
0.128500	0.10	0.000690	
0.130167	0.10	-0.004740	
0.131833	0.10	-0.009170	
0.133500	0.10	-0.011390	
0.135167	0.10	-0.011220	
0.136833	0.10	-0.009160	
0.138500	0.10	-0.005700	
0.140167	0.10	-0.000800	
0.141833	0.10	0.005410	
0.143500	0.10	0.012190	
0.145167	0.10	0.018310	
0.146833	0.10	0.022800	
