Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\31333.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn594_4
Sample Number	73
Sample Position	RC1
Sample ID	31333
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:38:28 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	690
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	943.144104
Base Intensity (counts):	45712
TIC (counts):	201416
Retention Time (min):	1.99 [corrected by 0.05]
Scan:	117
Bkg1 RT (min):	1.87 [corrected by 0.05]
Bkg1 Scan:	110
Bkg2 RT (min):	2.22 [corrected by 0.05]
Bkg2 Scan:	130




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
502.494995	52	0.11
505.959015	660	1.44
507.772888	403	0.88
509.400421	19	0.04
510.637299	300	0.66
511.747467	26	0.06
513.639893	2125	4.65
514.790833	812	1.78
516.049988	1870	4.09
519.316589	439	0.96
521.471619	786	1.72
522.730408	193	0.42
523.935120	1583	3.46
525.919434	1162	2.54
527.084839	1423	3.11
528.208252	784	1.72
530.512146	120	0.26
531.776489	9	0.02
535.033508	241	0.53
536.787231	822	1.80
540.781677	883	1.93
542.991882	1180	2.58
544.383606	683	1.49
545.481689	130	0.28
549.585449	1136	2.49
550.832092	978	2.14
552.780029	99	0.22
554.282532	532	1.16
558.767578	955	2.09
561.695618	543	1.19
564.529175	781	1.71
565.665955	779	1.70
566.723999	8	0.02
574.632324	15	0.03
577.112732	533	1.17
580.621277	638	1.40
581.458130	419	0.92
584.386047	668	1.46
587.603149	103	0.23
591.057922	406	0.89
594.861816	1124	2.46
597.360657	606	1.33
601.952332	840	1.84
604.112305	1215	2.66
605.253784	750	1.64
608.619080	391	0.86
613.005859	432	0.95
615.262634	307	0.67
617.019836	761	1.66
618.137756	127	0.28
619.772644	21	0.05
620.814819	553	1.21
626.396667	238	0.52
627.404846	216	0.47
631.551147	347	0.76
635.122559	127	0.28
639.707397	58	0.13
644.395386	332	0.73
645.381714	517	1.13
646.445190	670	1.47
654.455994	707	1.55
656.542358	269	0.59
658.329407	959	2.10
661.759460	295	0.65
665.155396	231	0.50
666.138977	158	0.34
667.279968	2	0.00
674.137573	749	1.64
676.565063	699	1.53
677.646240	363	0.79
679.731018	712	1.56
680.919678	536	1.17
684.480164	323	0.71
685.517639	492	1.08
687.032593	269	0.59
689.653259	64	0.14
692.097168	424	0.93
693.870056	263	0.58
695.847656	18	0.04
701.595581	406	0.89
706.279663	1145	2.50
710.973511	235	0.51
713.043091	182	0.40
713.951782	221	0.48
714.929504	1175	2.57
716.350464	850	1.86
717.321838	370	0.81
718.456543	137	0.30
722.409912	139	0.30
723.587402	285	0.62
724.953369	509	1.11
726.345032	801	1.75
729.912781	1276	2.79
732.101868	333	0.73
735.966431	65	0.14
737.081543	142	0.31
741.001831	196	0.43
744.602295	277	0.61
746.029297	1052	2.30
747.012207	40	0.09
749.672546	369	0.81
751.187683	2	0.00
753.668518	373	0.82
757.138123	80	0.17
759.061279	305	0.67
759.904480	10	0.02
761.954956	114	0.25
762.676208	199	0.44
765.844727	346	0.76
770.027039	388	0.85
771.515442	617	1.35
772.754089	178	0.39
775.338684	178	0.39
776.520142	169	0.37
777.808594	237	0.52
779.050232	319	0.70
780.447083	46	0.10
781.360352	42	0.09
782.075195	272	0.60
784.394592	150	0.33
785.737000	112	0.25
787.313171	1207	2.64
789.023315	146	0.32
791.972778	87	0.19
793.516479	3579	7.83
794.218201	672	1.47
794.773071	69	0.15
795.076172	286	0.63
795.988831	677	1.48
800.926880	120	0.26
802.113708	32	0.07
803.999146	91	0.20
805.184814	193	0.42
806.563904	450	0.98
808.346069	348	0.76
811.924988	560	1.23
817.533081	697	1.52
819.093506	519	1.14
821.960205	334	0.73
824.079956	329	0.72
826.178284	153	0.33
827.920959	397	0.87
832.968079	5	0.01
835.210876	73	0.16
836.044128	1	0.00
837.626953	216	0.47
843.198853	146	0.32
844.398865	258	0.56
845.656860	596	1.30
846.921082	204	0.45
848.249878	284	0.62
848.933167	105	0.23
849.336426	319	0.70
850.981079	226	0.50
852.989990	438	0.96
854.997986	167	0.37
856.374268	533	1.17
858.440186	13	0.03
861.114441	484	1.06
863.167786	129	0.28
864.851624	0	0.00
867.084717	78	0.17
868.053467	205	0.45
869.013367	371	0.81
869.954224	361	0.79
870.851624	36	0.08
871.145508	221	0.48
871.574097	125	0.27
872.450867	543	1.19
876.886902	183	0.40
879.417908	247	0.54
880.859253	18	0.04
881.930481	286	0.63
883.703979	484	1.06
884.896362	56	0.12
886.749512	354	0.77
887.799377	435	0.95
888.450989	674	1.47
889.113403	54	0.12
890.718933	182	0.40
891.733887	29	0.06
892.551575	67	0.15
893.413574	342	0.75
894.393188	394	0.86
896.585571	33	0.07
897.844849	35	0.08
899.268738	446	0.98
900.471191	72	0.16
901.576721	65	0.14
902.712891	22	0.05
903.830261	500	1.09
905.014709	57	0.12
905.868286	197	0.43
907.710571	179	0.39
908.757507	528	1.16
909.659363	470	1.03
913.473999	190	0.41
914.867981	267	0.58
915.932861	736	1.61
917.132324	476	1.04
920.250610	82	0.18
920.965698	311	0.68
922.727600	542	1.19
924.441345	55	0.12
925.389648	47	0.10
926.951355	145	0.32
932.678650	146	0.32
933.860046	35	0.08
936.932800	516	1.13
938.180664	204	0.45
941.110046	122	0.27
941.917480	33	0.07
943.144104	45712	100.00
943.983337	23050	50.42
944.820862	1041	2.28
948.428345	18	0.04
951.018555	174	0.38
951.689270	427	0.93
952.797913	379	0.83
954.104736	6545	14.32
954.800659	2048	4.48
955.379272	1525	3.34
956.242065	30	0.07
959.392700	47	0.10
960.215698	294	0.64
961.464783	129	0.28
961.823364	171	0.37
962.969116	77	0.17
964.333374	29	0.06
964.990479	688	1.50
965.633728	615	1.35
966.621826	20	0.04
968.308777	229	0.50
971.271362	267	0.58
974.744690	94	0.21
975.095642	288	0.63
976.222961	7	0.02
976.968262	98	0.22
977.448364	178	0.39
978.321716	67	0.15
979.587341	267	0.58
981.275452	576	1.26
982.229004	436	0.95
985.709595	80	0.18
986.451416	18	0.04
988.659729	82	0.18
989.750122	75	0.16
990.533569	127	0.28
992.067688	50	0.11
993.432800	109	0.24
994.320496	95	0.21
996.168091	99	0.22
996.769165	235	0.51
999.635132	3	0.01
1002.688721	12	0.03
1003.192383	74	0.16
1004.203003	291	0.64
1005.188171	22	0.05
1005.986572	445	0.97
1008.140564	546	1.19
1009.610168	19	0.04
1010.603821	51	0.11
1011.343201	83	0.18
1012.373352	160	0.35
1012.815674	175	0.38
1014.147034	33	0.07
1018.096436	2	0.01
1018.884460	288	0.63
1021.969604	61	0.13
1022.793518	150	0.33
1025.401855	121	0.26
1028.603760	60	0.13
1030.160889	79	0.17
1030.750122	117	0.25
1031.126709	162	0.35
1031.576172	153	0.33
1034.078247	209	0.46
1035.645142	160	0.35
1037.275024	78	0.17
1038.212158	152	0.33
1039.719849	104	0.23
1040.710815	147	0.32
1041.678711	441	0.96
1042.454590	8	0.02
1043.459595	49	0.11
1044.771606	136	0.30
1048.102539	37	0.08
1048.922119	33	0.07
1050.118408	32	0.07
1051.317627	31	0.07
1053.009155	99	0.22
1054.119507	19	0.04
1055.022461	277	0.61
1056.738403	51	0.11
1059.253418	285	0.62
1061.261353	190	0.42
1061.919800	6	0.01
1063.378906	321	0.70
1064.430542	224	0.49
1065.688843	103	0.23
1066.825317	258	0.56
1067.860107	294	0.64
1069.046265	298	0.65
1070.248047	280	0.61
1072.008423	18	0.04
1073.682007	162	0.35
1075.603638	78	0.17
1076.312622	9	0.02
1079.649902	205	0.45
1080.945923	97	0.21
1082.129028	25	0.05
1082.447388	24	0.05
1083.301514	71	0.16
1083.962158	87	0.19
1084.596680	102	0.22
1085.816895	165	0.36
1086.895264	245	0.54
1087.458130	54	0.12
1088.343750	101	0.22
1089.418701	6	0.01
1089.837158	96	0.21
1090.965454	98	0.21
1091.404053	64	0.14
1092.821533	107	0.23
1093.926636	18	0.04
1096.037231	73	0.16
1101.130615	72	0.16
1102.270874	33	0.07
1104.578857	54	0.12
1106.297974	19	0.04
1108.154541	64	0.14
1109.795654	34	0.07
1110.557617	57	0.12
1112.061401	35	0.08
1114.577515	72	0.16
1116.075073	96	0.21
1117.195679	55	0.12
1118.814941	89	0.19
1119.570313	19	0.04
1120.250244	213	0.47
1121.121826	72	0.16
1122.925781	260	0.57
1124.088623	104	0.23
1124.950195	57	0.12
1126.589355	55	0.12
1127.445923	59	0.13
1130.074951	177	0.39
1130.685181	49	0.11
1132.325073	142	0.31
1134.291260	65	0.14
1136.637695	303	0.66
1140.832520	18	0.04
1143.284424	426	0.93
1145.263062	96	0.21
1145.729370	429	0.94
1146.533203	49	0.11
1148.428467	158	0.35
1149.981445	121	0.26
1150.700073	195	0.43
1152.984497	66	0.14
1153.694458	19	0.04
1154.280640	478	1.05
1155.329590	55	0.12
1157.428345	562	1.23
1159.626831	293	0.64
1160.554443	136	0.30
1161.182495	138	0.30
1161.516724	298	0.65
1162.133423	250	0.55
1162.471436	127	0.28
1163.297241	501	1.10
1163.932983	31	0.07
1164.570801	99	0.22
1165.212524	40	0.09
1166.384033	264	0.58
1167.337158	59	0.13
1167.676514	168	0.37
1167.962158	243	0.53
1168.834961	18	0.04
1169.280029	14	0.03
1169.913696	18	0.04
1171.853760	36	0.08
1172.834229	19	0.04
1173.402954	151	0.33
1174.428223	91	0.20
1176.170288	19	0.04
1179.083984	172	0.38
1179.956055	19	0.04
1181.525513	87	0.19
1181.850952	48	0.11
1184.192383	18	0.04
1186.406982	137	0.30
1187.080444	54	0.12
1190.226563	46	0.10
1191.460205	41	0.09
1193.302612	32	0.07
1193.638916	28	0.06
1194.630127	26	0.06
1196.354492	81	0.18
1197.283691	49	0.11
1197.764771	70	0.15
1198.963989	90	0.20
1200.053467	82	0.18
1200.795776	162	0.36
1201.435913	69	0.15
1201.887939	42	0.09
1202.389771	37	0.08
1203.601196	127	0.28
1205.418213	34	0.07
1208.050415	15	0.03
1209.523071	18	0.04
1210.048950	13	0.03
1210.738403	78	0.17
1211.660767	54	0.12
1212.020752	49	0.11
1212.723755	8	0.02
1213.719238	17	0.04
1214.352539	142	0.31
1215.556396	36	0.08
1215.928467	36	0.08
1216.237793	19	0.04
1216.941895	9	0.02
1217.836060	34	0.07
1219.994263	18	0.04
1220.300781	19	0.04
1220.839355	65	0.14
1222.093018	191	0.42
1223.415771	18	0.04
1224.745483	33	0.07
1226.158691	34	0.07
1229.038574	13	0.03
1229.406006	18	0.04
1230.927124	19	0.04
1234.139893	17	0.04
1234.891724	49	0.11
1235.248047	48	0.11
1236.022217	18	0.04
1236.452271	33	0.07
1237.249146	194	0.42
1238.079224	113	0.25
1238.771606	148	0.32
1240.582886	94	0.20
1241.415894	19	0.04
1242.175781	64	0.14
1242.750610	93	0.20
1243.774780	186	0.41
1245.361816	50	0.11
1246.309570	213	0.47
1248.397339	167	0.37
1249.755493	91	0.20
1252.723877	19	0.04
1254.061523	76	0.17
1255.715820	33	0.07
