Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\31333.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn594_4
Sample Number	73
Sample Position	RC1
Sample ID	31333
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:38:28 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	398da02f-4bf1-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-7.49851
Signal Max.	275.584240
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.000167	0.00	0.000000	
0.001833	0.10	0.000000	
0.003500	0.10	-0.000090	
0.005167	0.10	-0.000810	
0.006833	0.10	-0.003640	
0.008500	0.10	-0.010380	
0.010167	0.10	-0.020980	
0.011833	0.10	-0.032340	
0.013500	0.10	-0.040060	
0.015167	0.10	-0.041690	
0.016833	0.10	-0.038000	
0.018500	0.10	-0.031510	
0.020167	0.10	-0.024430	
0.021833	0.10	-0.018200	
0.023500	0.10	-0.013950	
0.025167	0.10	-0.012560	
0.026833	0.10	-0.013810	
0.028500	0.10	-0.016060	
0.030167	0.10	-0.016740	
0.031833	0.10	-0.013500	
0.033500	0.10	-0.005780	
0.035167	0.10	0.004340	
0.036833	0.10	0.013280	
0.038500	0.10	0.017910	
0.040167	0.10	0.017080	
0.041833	0.10	0.011980	
0.043500	0.10	0.005150	
0.045167	0.10	-0.000850	
0.046833	0.10	-0.004590	
0.048500	0.10	-0.006570	
0.050167	0.10	-0.008660	
0.051833	0.10	-0.012070	
0.053500	0.10	-0.015740	
0.055167	0.10	-0.017840	
0.056833	0.10	-0.018410	
0.058500	0.10	-0.018730	
0.060167	0.10	-0.019190	
0.061833	0.10	-0.019170	
0.063500	0.10	-0.017860	
0.065167	0.10	-0.014780	
0.066833	0.10	-0.010290	
0.068500	0.10	-0.005600	
0.070167	0.10	-0.002090	
0.071833	0.10	-0.000400	
0.073500	0.10	-0.000350	
0.075167	0.10	-0.001250	
0.076833	0.10	-0.002150	
0.078500	0.10	-0.002270	
0.080167	0.10	-0.001810	
0.081833	0.10	-0.001770	
0.083500	0.10	-0.002520	
0.085167	0.10	-0.002580	
0.086833	0.10	0.000170	
0.088500	0.10	0.005840	
0.090167	0.10	0.011650	
0.091833	0.10	0.014560	
0.093500	0.10	0.014040	
0.095167	0.10	0.011930	
0.096833	0.10	0.010470	
0.098500	0.10	0.010920	
0.100167	0.10	0.013140	
0.101833	0.10	0.016040	
0.103500	0.10	0.018260	
0.105167	0.10	0.018750	
0.106833	0.10	0.017340	
0.108500	0.10	0.014900	
0.110167	0.10	0.013040	
0.111833	0.10	0.013230	
0.113500	0.10	0.015580	
0.115167	0.10	0.018740	
0.116833	0.10	0.021190	
0.118500	0.10	0.021740	
0.120167	0.10	0.019540	
0.121833	0.10	0.014970	
0.123500	0.10	0.009930	
0.125167	0.10	0.006350	
0.126833	0.10	0.004660	
0.128500	0.10	0.004180	
0.130167	0.10	0.004270	
0.131833	0.10	0.004520	
0.133500	0.10	0.004880	
0.135167	0.10	0.005740	
0.136833	0.10	0.007730	
0.138500	0.10	0.010960	
0.140167	0.10	0.014600	
0.141833	0.10	0.017380	
0.143500	0.10	0.018740	
0.145167	0.10	0.018800	
0.146833	0.10	0.017830	
0.148500	0.10	0.016080	
0.150167	0.10	0.013950	
0.151833	0.10	0.011970	
0.153500	0.10	0.010940	
0.155167	0.10	0.011580	
0.156833	0.10	0.014050	
0.158500	0.10	0.017480	
0.160167	0.10	0.020080	
0.161833	0.10	0.020230	
0.163500	0.10	0.017570	
0.165167	0.10	0.011410	
0.166833	0.10	-0.007590	
0.168500	0.10	-0.081990	
0.170167	0.10	-0.332380	
0.171833	0.10	-0.987250	
0.173500	0.10	-2.309890	
0.175167	0.10	-4.340930	
0.176833	0.10	-6.520550	
0.178500	0.10	-7.498510	
0.180167	0.10	-5.514110	
0.181833	0.10	0.641680	
0.183500	0.10	10.661300	
0.185167	0.10	22.496920	
0.186833	0.10	33.116530	
0.188500	0.10	39.771400	
0.190167	0.10	41.025240	
0.191833	0.10	37.100960	
0.193500	0.10	29.584570	
0.195167	0.10	20.756290	
0.196833	0.10	12.831710	
0.198500	0.10	7.374750	
0.200167	0.10	5.060060	
0.201833	0.10	5.782180	
0.203500	0.10	8.957420	
0.205167	0.10	13.840440	
0.206833	0.10	19.744840	
0.208500	0.10	26.141780	
0.210167	0.10	32.666310	
0.211833	0.10	39.073850	
0.213500	0.10	45.182460	
0.215167	0.10	50.827810	
0.216833	0.10	55.842100	
0.218500	0.10	60.054040	
0.220167	0.10	63.306700	
0.221833	0.10	65.486710	
0.223500	0.10	66.548560	
0.225167	0.10	66.519480	
0.226833	0.10	65.484290	
0.228500	0.10	63.561070	
0.230167	0.10	60.879260	
0.231833	0.10	57.567450	
0.233500	0.10	53.752510	
0.235167	0.10	49.563900	
0.236833	0.10	45.134300	
0.238500	0.10	40.595560	
0.240167	0.10	36.074240	
0.241833	0.10	31.687320	
0.243500	0.10	27.536910	
0.245167	0.10	23.704720	
0.246833	0.10	20.246920	
0.248500	0.10	17.191500	
0.250167	0.10	14.540410	
0.251833	0.10	12.275490	
0.253500	0.10	10.365060	
0.255167	0.10	8.770170	
0.256833	0.10	7.449290	
0.258500	0.10	6.361190	
0.260167	0.10	5.466550	
0.261833	0.10	4.729510	
0.263500	0.10	4.119840	
0.265167	0.10	3.614920	
0.266833	0.10	3.199070	
0.268500	0.10	2.860020	
0.270167	0.10	2.585790	
0.271833	0.10	2.364920	
0.273500	0.10	2.188540	
0.275167	0.10	2.051100	
0.276833	0.10	1.949160	
0.278500	0.10	1.879900	
0.280167	0.10	1.840040	
0.281833	0.10	1.825150	
0.283500	0.10	1.829780	
0.285167	0.10	1.848630	
0.286833	0.10	1.877780	
0.288500	0.10	1.914610	
0.290167	0.10	1.955910	
0.291833	0.10	1.996510	
0.293500	0.10	2.031330	
0.295167	0.10	2.058210	
0.296833	0.10	2.077730	
0.298500	0.10	2.090250	
0.300167	0.10	2.095050	
0.301833	0.10	2.091810	
0.303500	0.10	2.081070	
0.305167	0.10	2.063250	
0.306833	0.10	2.038540	
0.308500	0.10	2.006780	
0.310167	0.10	1.966700	
0.311833	0.10	1.915840	
0.313500	0.10	1.852400	
0.315167	0.10	1.777240	
0.316833	0.10	1.693150	
0.318500	0.10	1.602320	
0.320167	0.10	1.505930	
0.321833	0.10	1.405680	
0.323500	0.10	1.304610	
0.325167	0.10	1.205790	
0.326833	0.10	1.110540	
0.328500	0.10	1.018260	
0.330167	0.10	0.927700	
0.331833	0.10	0.838320	
0.333500	0.10	0.751080	
0.335167	0.10	0.667750	
0.336833	0.10	0.589370	
0.338500	0.10	0.515700	
0.340167	0.10	0.445840	
0.341833	0.10	0.379770	
0.343500	0.10	0.318960	
0.345167	0.10	0.265100	
0.346833	0.10	0.218660	
0.348500	0.10	0.178800	
0.350167	0.10	0.143750	
0.351833	0.10	0.111410	
0.353500	0.10	0.080670	
0.355167	0.10	0.052320	
0.356833	0.10	0.027610	
0.358500	0.10	0.006320	
0.360167	0.10	-0.013030	
0.361833	0.10	-0.031270	
0.363500	0.10	-0.047150	
0.365167	0.10	-0.058390	
0.366833	0.10	-0.064250	
0.368500	0.10	-0.066550	
0.370167	0.10	-0.067960	
0.371833	0.10	-0.070000	
0.373500	0.10	-0.072810	
0.375167	0.10	-0.075610	
0.376833	0.10	-0.077180	
0.378500	0.10	-0.076930	
0.380167	0.10	-0.075540	
0.381833	0.10	-0.074410	
0.383500	0.10	-0.074670	
0.385167	0.10	-0.076090	
0.386833	0.10	-0.077310	
0.388500	0.10	-0.077640	
0.390167	0.10	-0.077760	
0.391833	0.10	-0.077940	
0.393500	0.10	-0.077200	
0.395167	0.10	-0.074950	
0.396833	0.10	-0.072110	
0.398500	0.10	-0.070120	
0.400167	0.10	-0.069460	
0.401833	0.10	-0.069660	
0.403500	0.10	-0.070260	
0.405167	0.10	-0.071190	
0.406833	0.10	-0.072550	
0.408500	0.10	-0.074850	
0.410167	0.10	-0.078050	
0.411833	0.10	-0.080490	
0.413500	0.10	-0.080410	
0.415167	0.10	-0.078220	
0.416833	0.10	-0.076220	
0.418500	0.10	-0.076480	
0.420167	0.10	-0.079340	
0.421833	0.10	-0.083530	
0.423500	0.10	-0.087260	
0.425167	0.10	-0.088790	
0.426833	0.10	-0.086700	
0.428500	0.10	-0.081200	
0.430167	0.10	-0.074710	
0.431833	0.10	-0.070020	
0.433500	0.10	-0.068510	
0.435167	0.10	-0.070370	
0.436833	0.10	-0.075000	
0.438500	0.10	-0.080560	
0.440167	0.10	-0.084340	
0.441833	0.10	-0.084770	
0.443500	0.10	-0.082850	
0.445167	0.10	-0.080880	
0.446833	0.10	-0.080560	
0.448500	0.10	-0.082090	
0.450167	0.10	-0.084250	
0.451833	0.10	-0.085630	
0.453500	0.10	-0.085940	
0.455167	0.10	-0.086120	
0.456833	0.10	-0.087600	
0.458500	0.10	-0.090700	
0.460167	0.10	-0.093950	
0.461833	0.10	-0.095810	
0.463500	0.10	-0.096070	
0.465167	0.10	-0.094970	
0.466833	0.10	-0.092820	
0.468500	0.10	-0.090580	
0.470167	0.10	-0.089280	
0.471833	0.10	-0.088870	
0.473500	0.10	-0.088470	
0.475167	0.10	-0.087460	
0.476833	0.10	-0.086470	
0.478500	0.10	-0.087350	
0.480167	0.10	-0.091490	
0.481833	0.10	-0.098390	
0.483500	0.10	-0.105980	
0.485167	0.10	-0.111930	
0.486833	0.10	-0.114500	
0.488500	0.10	-0.113200	
0.490167	0.10	-0.108830	
0.491833	0.10	-0.102560	
0.493500	0.10	-0.095340	
0.495167	0.10	-0.088380	
0.496833	0.10	-0.083480	
0.498500	0.10	-0.082550	
0.500167	0.10	-0.086250	
0.501833	0.10	-0.092740	
0.503500	0.10	-0.098420	
0.505167	0.10	-0.100610	
0.506833	0.10	-0.099320	
0.508500	0.10	-0.096470	
0.510167	0.10	-0.094130	
0.511833	0.10	-0.093590	
0.513500	0.10	-0.095410	
0.515167	0.10	-0.099430	
0.516833	0.10	-0.104630	
0.518500	0.10	-0.109430	
0.520167	0.10	-0.112610	
0.521833	0.10	-0.114090	
0.523500	0.10	-0.114480	
0.525167	0.10	-0.114190	
0.526833	0.10	-0.113320	
0.528500	0.10	-0.112180	
0.530167	0.10	-0.111380	
0.531833	0.10	-0.111390	
0.533500	0.10	-0.112140	
0.535167	0.10	-0.113180	
0.536833	0.10	-0.114130	
0.538500	0.10	-0.114810	
0.540167	0.10	-0.114990	
0.541833	0.10	-0.114300	
0.543500	0.10	-0.112310	
0.545167	0.10	-0.108730	
0.546833	0.10	-0.104410	
0.548500	0.10	-0.101910	
0.550167	0.10	-0.103580	
0.551833	0.10	-0.109030	
0.553500	0.10	-0.115320	
0.555167	0.10	-0.119770	
0.556833	0.10	-0.121710	
0.558500	0.10	-0.121650	
0.560167	0.10	-0.120250	
0.561833	0.10	-0.118400	
0.563500	0.10	-0.117200	
0.565167	0.10	-0.116810	
0.566833	0.10	-0.116390	
0.568500	0.10	-0.115460	
0.570167	0.10	-0.114350	
0.571833	0.10	-0.112770	
0.573500	0.10	-0.109930	
0.575167	0.10	-0.105860	
0.576833	0.10	-0.101530	
0.578500	0.10	-0.098040	
0.580167	0.10	-0.096340	
0.581833	0.10	-0.096680	
0.583500	0.10	-0.097890	
0.585167	0.10	-0.098130	
0.586833	0.10	-0.096930	
0.588500	0.10	-0.095400	
0.590167	0.10	-0.094650	
0.591833	0.10	-0.095220	
